percent_population_change,percent_people_over_65,percent_african_american,percent_hispanic,percent_hs_grad,percent_bachelor,rate_homeownership,median_house_value,median_hh_income,percent_poverty,percent_vote_difference
4.1,10.5,4.2,57.5,66.7,12.6,53.6,146400,42591,25.4,-6.1
-6.8,23.2,1.2,14.8,84.8,18.7,68.8,164100,36212,21,3
-1.4,11.8,0.8,27.9,83.8,29.8,55.6,344500,61757,8.5,-10.2
3.9,12,3.5,57.4,71,23,49.7,362400,59168,17,-13.5
3.8,16.8,2.4,33.7,83.1,31.3,60.6,428600,70443,10.1,-17.8
0.1,23.4,0.6,9.2,94.3,32.3,72.6,357300,57353,12,-13.2
4.5,13.1,2.1,34.3,83.8,36.8,58.7,519600,75422,12.4,-15.7
6.7,17.8,1.7,13.5,93.6,35.1,70.6,342000,72725,8.7,-10.9
-7,24.7,1.2,8.4,89.9,22.6,69.7,243700,45794,15.2,0.2
6.4,13.2,7,47.4,79.6,20.5,66.5,231000,56529,16.2,-5.7
4.5,12.8,10.9,22.5,85.9,28,56.7,234200,55064,17.6,-11.8
5.4,11.4,1.3,58.3,76.9,18.2,61.6,343000,66237,11.9,-8.3
3.8,10.3,9.5,51.7,78.2,18.7,61.9,222300,54090,18.7,-6.7
5.4,12.7,5.6,33.2,85.5,34.6,53.8,402100,62962,14.4,-16.3
5.9,14.4,5.8,15.3,86.3,52.4,36.6,744600,75604,13.5,-25.7
4.4,11.8,8.1,40.5,77.3,18.1,58.3,208000,53380,18.2,-6.1
3.5,17.5,2.2,22,89.6,31.5,58.4,426600,58697,14.3,-11.7
5.6,14.7,3,25.3,88.6,44.4,59.4,722200,88202,7.6,-28.1
3.9,14,2.4,44.4,79.1,31.3,52.6,453000,62779,16,-18.1
6.3,12.2,2.9,26.6,86.5,46.5,57.5,645600,91702,10.2,-24.3
3.6,13.5,1.4,33.2,84.9,37,58.8,557500,66519,14.6,-14.2
1.5,19.2,1.1,9.4,88.4,18.8,64.2,220000,44651,17.5,3
-7.3,26.8,0.4,9.7,89.4,18.5,77.8,231400,39009,19.4,-1.8
-2.8,22.7,1.4,11.9,89,23.9,62.7,200800,37709,21,1.9
4.3,13.5,14.8,25.6,87.2,24.3,61.7,262400,67177,13,-7.4
3.4,16.7,1.9,26.1,86.7,32.2,60.1,407400,63356,11.9,-12.2
3.4,12.1,3.3,44.1,76.4,16.4,58.1,172900,49297,20.3,-0.9
1.2,14.5,2.5,29.9,78.3,18.7,59.6,188500,50408,16.7,-6.9
-0.6,17.8,1,24.1,81.1,13.5,67.5,177100,41924,19.7,5.2
-4.5,24,0.5,7.3,91.3,21.3,71.2,257400,36890,19.2,6.1
3.6,10.4,2.2,62.9,68,13.3,57.5,163100,42708,26.2,-3.7
